 ,Area,Mean,IntDen,%Area,RawIntDen
1,476,255,121380,100,121380
2,405,255,103275,100,103275
3,363,255,92565,100,92565
4,377,255,96135,100,96135
5,225,255,57375,100,57375
6,344,255,87720,100,87720
7,108,255,27540,100,27540
8,483,255,123165,100,123165
9,408,255,104040,100,104040
10,419,255,106845,100,106845
11,441,255,112455,100,112455
12,346,255,88230,100,88230
13,399,255,101745,100,101745
14,412,255,105060,100,105060
15,88,255,22440,100,22440
16,488,255,124440,100,124440
17,435,255,110925,100,110925
18,204,255,52020,100,52020
19,299,255,76245,100,76245
20,359,255,91545,100,91545
21,434,255,110670,100,110670
22,474,255,120870,100,120870
23,458,255,116790,100,116790
24,361,255,92055,100,92055
25,480,255,122400,100,122400
26,402,255,102510,100,102510
27,335,255,85425,100,85425
28,454,255,115770,100,115770
29,445,255,113475,100,113475
30,117,255,29835,100,29835
31,422,255,107610,100,107610
32,420,255,107100,100,107100
33,382,255,97410,100,97410
34,438,255,111690,100,111690
35,456,255,116280,100,116280
36,397,255,101235,100,101235
37,390,255,99450,100,99450
38,478,255,121890,100,121890
39,149,255,37995,100,37995
40,355,255,90525,100,90525
41,459,255,117045,100,117045
42,466,255,118830,100,118830
43,347,255,88485,100,88485
44,104,255,26520,100,26520
45,415,255,105825,100,105825
46,441,255,112455,100,112455
47,291,255,74205,100,74205
48,493,255,125715,100,125715
49,455,255,116025,100,116025
50,276,255,70380,100,70380
51,99,255,25245,100,25245
52,292,255,74460,100,74460
53,456,255,116280,100,116280
54,146,255,37230,100,37230
55,338,255,86190,100,86190
56,428,255,109140,100,109140
57,305,255,77775,100,77775
58,432,255,110160,100,110160
59,98,255,24990,100,24990
60,395,255,100725,100,100725
61,155,255,39525,100,39525
62,416,255,106080,100,106080
63,85,255,21675,100,21675
64,451,255,115005,100,115005
65,420,255,107100,100,107100
66,317,255,80835,100,80835
67,300,255,76500,100,76500
68,413,255,105315,100,105315
69,321,255,81855,100,81855
70,233,255,59415,100,59415
71,209,255,53295,100,53295
72,451,255,115005,100,115005
73,315,255,80325,100,80325
74,477,255,121635,100,121635
75,462,255,117810,100,117810
76,458,255,116790,100,116790
77,400,255,102000,100,102000
78,118,255,30090,100,30090
79,471,255,120105,100,120105
80,419,255,106845,100,106845
81,390,255,99450,100,99450
82,414,255,105570,100,105570
83,390,255,99450,100,99450
84,393,255,100215,100,100215
85,383,255,97665,100,97665
86,413,255,105315,100,105315
87,473,255,120615,100,120615
88,390,255,99450,100,99450
89,477,255,121635,100,121635
90,466,255,118830,100,118830
91,387,255,98685,100,98685
92,410,255,104550,100,104550
93,373,255,95115,100,95115
94,448,255,114240,100,114240
95,492,255,125460,100,125460
96,471,255,120105,100,120105
97,434,255,110670,100,110670
98,447,255,113985,100,113985
99,370,255,94350,100,94350
100,396,255,100980,100,100980
101,400,255,102000,100,102000
102,422,255,107610,100,107610
103,242,255,61710,100,61710
104,435,255,110925,100,110925
105,482,255,122910,100,122910
106,436,255,111180,100,111180
107,129,255,32895,100,32895
108,406,255,103530,100,103530
109,422,255,107610,100,107610
110,131,255,33405,100,33405
111,439,255,111945,100,111945
112,303,255,77265,100,77265
113,258,255,65790,100,65790
114,384,255,97920,100,97920
115,447,255,113985,100,113985
116,414,255,105570,100,105570
117,103,255,26265,100,26265
118,43,255,10965,100,10965
